doc_id,mention_count,inferred_status,source_conversation_uuids,sample_context
CST8300,7,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 45373f34-fd87-4925-8166-a1b10d6d3c20; 50e1dd42-840b-47c1-8f9f-4afa2f5e9b64; 80669f90-3e7c-4a04-8c11-715ba72cc7cd; a5088a81-2f8d-487b-993f-c266d2a1c79a; cd2f6f0c-6705-4b96-b10c-e60b600d9629; ecec0e9f-aef6-49dd-8c6f-408b9ff0866d,ystem Support) - Theory & Lab sessions   - CST8202 (Windows Desktop Support) - Theory & Lab sessions - MAT8002 (Numeracy and Logic) - Theory sessions - ENL1813T (Communications I) - Theory sessions - 
CST8305,9,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 232472a1-8199-4535-8e32-3488947bfd47; 3cbd5740-e40b-430e-b901-7a91a6d09f2c; 43e1390e-1e45-44d1-a065-7a5854aee9a7; 6fe5ecfe-931c-4318-b896-d4aaffb5875c; 7b804c2c-7e85-4177-b138-1d77da96af89; a697f0d0-a5ea-4b22-be77-fc7d696de893; bca675ef-e8d1-4005-8231-ab35cc8b62db,"hich pulled your GPA down. Without the W, your GPA on the graded courses would be approximately **3.03** (722.4 ÷ 238.0 hours).  For your **Level 02 courses** currently in progress (CST8200, CST8208, "
CST8315,22,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 17d75783-b58a-4c28-b87d-0d5246b576dd; 1d87c741-469a-42cd-a427-2182a5784b40; 232472a1-8199-4535-8e32-3488947bfd47; 26c1a9e7-7ab8-4f42-a72e-f54e7b0ee0cd; 2c6eb4aa-23e4-4e3e-be53-46332d55b214; 3c6c7087-504e-4ccd-9b35-e8bdbf309e8b; 3cbd5740-e40b-430e-b901-7a91a6d09f2c; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89; 43e1390e-1e45-44d1-a065-7a5854aee9a7; 5254778a-7bd1-4b0e-839a-7ea42825f052; 6658bc45-a01a-48ad-ab58-9fe4499d780a; 68e05beb-4303-4ec9-adbe-8a16ebdea222; 702c2d45-c80d-429a-a545-2850a38a6543; 8f7a2740-7f7b-4f16-b483-d1e161ebb85e; 9b683cd6-ec55-4345-abec-083ea2b83ab6; d71d954c-1642-4d55-a387-dd09348a001c; e4a07ddd-a5c3-4c6d-a204-1922eb67f4cd; e6989afc-94a2-4f15-9048-efdd82490de7; faaa0cb1-0522-4977-b307-ac606ebc9140; fd8a80dd-8eef-4c2f-b16d-febb3123ed6f,"ed your GPA down. Without the W, your GPA on the graded courses would be approximately **3.03** (722.4 ÷ 238.0 hours).  For your **Level 02 courses** currently in progress (CST8200, CST8208, CST8305, "
CST8316,1,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64,"components, your remaining courses are:  | Level | Course | Hours | |---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, CST8246, C"
CST8317,1,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64,"Hours | |---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, CST8246, CST8316, CST8342, CST8371, DAT0129 | 336.0 | | 04 | CST8248, "
CST8323,3,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 3cbd5740-e40b-430e-b901-7a91a6d09f2c; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, CST8246, CST8316, CST8342, CST8371, DAT0129 | 336.0 | | 04 | CST8248, CST8317, "
CST8324,7,complete,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 0f2dd365-162f-4057-9a27-2912c4d655ae; 232472a1-8199-4535-8e32-3488947bfd47; 2c57d3b5-5f5f-41b5-be00-d2f1d11c4078; abf7025b-7fff-4bc9-ae13-f7dc494f5539; def61735-3bf9-44a9-b137-ed1cff3a655b,create a complete lab manual for lab 5 similar to that of lab 4 based on the criteria and review;   summission details [# CST8324 — Lab 5 Submission Details **Source:** `cst8324_lab5_SubmissionDetails
CST8342,1,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64,"ts, your remaining courses are:  | Level | Course | Hours | |---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, CST8246, CST8316, "
CST8371,1,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64,"remaining courses are:  | Level | Course | Hours | |---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, CST8246, CST8316, CST8342, "
CST8378,1,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64,"--| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, CST8246, CST8316, CST8342, CST8371, DAT0129 | 336.0 | | 04 | CST8248, CST8317, CST8323, "
CST8601,3,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,dvanced Diploma**. The entry requirement is a **2.70 cumulative GPA** from your CST-Networking program. This is what the full target transcript I just made covers — Levels 05 and 06 with courses like 
CST8602,3,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"iploma**. The entry requirement is a **2.70 cumulative GPA** from your CST-Networking program. This is what the full target transcript I just made covers — Levels 05 and 06 with courses like CST8601, "
CST8603,1,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"8324, 8200, 8208, then 8371, 8246, 8342, 8317, 8378). The Security advanced diploma just keeps going into Levels 5–6 with the heavy stuff: **CST8601 Securing Routers & Switches, CST8602 Pen Testing, C"
CST8604,1,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"8342, 8317, 8378). The Security advanced diploma just keeps going into Levels 5–6 with the heavy stuff: **CST8601 Securing Routers & Switches, CST8602 Pen Testing, CST8603 Security Law & Compliance, C"
CST8605,1,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"ecurity advanced diploma just keeps going into Levels 5–6 with the heavy stuff: **CST8601 Securing Routers & Switches, CST8602 Pen Testing, CST8603 Security Law & Compliance, CST8604 Risk Management, "
CST8606,3,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"The entry requirement is a **2.70 cumulative GPA** from your CST-Networking program. This is what the full target transcript I just made covers — Levels 05 and 06 with courses like CST8601, CST8602, C"
CST8607,1,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"e heavy stuff: **CST8601 Securing Routers & Switches, CST8602 Pen Testing, CST8603 Security Law & Compliance, CST8604 Risk Management, CST8605 Advanced Security Appliances, CST8606 Digital Forensics, "
CST8608,1,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"ing Routers & Switches, CST8602 Pen Testing, CST8603 Security Law & Compliance, CST8604 Risk Management, CST8605 Advanced Security Appliances, CST8606 Digital Forensics, CST8607 Applied Cryptography, "
CST8609,2,referenced,0b4c96a1-4b58-460e-bf22-b52fb620503f; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,olyglot operator-engineer-researcher-architect with geopolitical mobility across 6 continents and 4B+ speakers. That framing is accurate and rare.  **One note:** The Level 05/06 course codes (CST8601–
DC-AGD-001,3,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89; c191b7df-040a-4236-9327-1c011a99de78; df8f544e-9dca-422f-8bcf-e82e7df6e3b1,"estion, because a big chunk of your portfolio was *designed* around exactly this hardware. Here's the honest sort.  **Fully buildable right now on ESP32/Pi + homelab**  - **Acoustic Gunshot Detector ("
DC-AGD-002,1,complete,df8f544e-9dca-422f-8bcf-e82e7df6e3b1,"n, and SDKs are what let it iterate and compound without a central owner. Let me write the companion spec, then I'll give you the network-effects breakdown directly since you asked to be told. Done — "
DC-AGD-003,2,complete,6658bc45-a01a-48ad-ab58-9fe4499d780a; df8f544e-9dca-422f-8bcf-e82e7df6e3b1,"rson can't build 62 companies, but one person can maintain a **protocol**. Convert the registry from Word documents into machine-readable specs with **conformance test suites** in CI. Now ""implements "
DC-AGENT-001,1,referenced,2c6eb4aa-23e4-4e3e-be53-46332d55b214,"Docker networks, not just separated by prompt 12. Lightweight service mesh (Docker networks + Cloudflare routing rules) so one compromised agent has a contained blast radius  **D-Central (more)** 1. D"
DC-ARCH-001,1,complete,e6989afc-94a2-4f15-9048-efdd82490de7,"e home OS is hardware-discovery-capable from day one. create complete technical documentation   I'll build this as a full technical document. Given the scope, I'll write it in sections iteratively. **"
DC-ASSET-001,3,referenced,5783b3e4-d46c-413c-8505-b5d6326b7fe6; bd72890d-3673-40fc-b37f-b8d3b91bcd56; e6989afc-94a2-4f15-9048-efdd82490de7,"raints, postal systems, and colonization packages  **Key Documents Produced** DC-REG-001 v3.1 (62 companies, 515 documents across 17 tiers), DC-MONETARY-001, DC-SPACE-INFRA-001, DC-SENSE-SERVICE-001, "
DC-B2B-001,1,complete,7963735d-a671-4b42-806e-651377fd29b2,b2b so use this ecosystem to propose a complete b2b expansion   The visualization tool is timing out on my end right now — the document has everything you need. Here's the strategic summary of what **
DC-BEAM-001,1,referenced,6a30ef92-529c-4547-b508-344b24823fe6,"m scale is still expensive. So near-term architecture: audio beams + wearable LENS for private visuals, with shared directional displays as a later tier.  If you formalize this, it's really one spec: "
DC-BEAM-002,1,draft,6a30ef92-529c-4547-b508-344b24823fe6,"hared firmware module, one protocol spec. It's the cheapest capability multiplier in your entire registry.  The registry treatment: DC-BEAM-001 stays the channel spec, and this fleet retrofit becomes "
DC-CAMPUS-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"community resilience — acting as the cluster's anchor node and shared yard**, while staying inside the same refused-departments and regulated-boundary limits as every other layer.  Want me to write **"
DC-CAMPUS-002,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"d the distributed nodes are the extended family's individual homes around it, exactly the traditional structure.  This is a significant enough synthesis that it deserves its own capstone document — **"
DC-COMPUTE-001,2,referenced,9914cf00-df14-4888-bee6-073dd408a960; df8f544e-9dca-422f-8bcf-e82e7df6e3b1,"d cultural meaning. Mosaic gets a special call-out because residents can literally help make it, which maximizes the community-ownership (and anti-vandalism) effect.  **The NVIDIA capability layer** ("
DC-COOP-001,2,complete,2c6eb4aa-23e4-4e3e-be53-46332d55b214; 7963735d-a671-4b42-806e-651377fd29b2,"i want it to be more integrated into dcentral, actually i want you to complete rebuild the company from the ground up using dcentral and ill adjust and remove the features i dont think will work   **D"
DC-DEV-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"gs in your v1.0 doc are pinned to specific names, so I flagged that the durable design is the routing *tiers* (fast vs. accuracy-critical vs. rules), not the exact model names, since those rotate.  **"
DC-DEVENV-001,1,referenced,fc99aa3d-f993-404c-8aee-09bc55305583,"real extension of what TPM-signing currently does, not a reuse.  Everything else — identity, discovery, payment, transport — is composition of what already exists. If you want, I can turn this into `D"
DC-DISPATCH-002,1,draft,fc99aa3d-f993-404c-8aee-09bc55305583,"checking on the hot path — a routed request should fail closed if the responding DID's role VC was just revoked, not deliver anyway.  If you want, I can draft this as a proper spec — something like `D"
DC-DMCA-001,1,draft,fb8b0f84-8c02-4646-9fa0-3178fa6aca83,"tical infrastructure** — the same logic you used in D-Central's physical infrastructure verticals, but at the level of international maritime law.  ---  Want me to draft this as a formal whitepaper — "
DC-ENERGY-001,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"06 | Remote Access and MSSP Tunnel Configuration | WireGuard peer setup, MSSP NOC endpoint configuration, JIT credential provisioning |  ### Energy System  | ID | Document | Purpose | |---|---|---| | "
DC-ENERGY-002,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"ID | Document | Purpose | |---|---|---| | DC-ENERGY-001 | Energy System Configuration Guide | Victron MultiPlus-II setup, EG4 battery commissioning, Cerbo GX configuration, VRM portal integration | | "
DC-ENERGY-003,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"o GX configuration, VRM portal integration | | DC-ENERGY-002 | VPP Enrollment and Commissioning Checklist | Step-by-step for completing Hydro Ottawa net metering + IESO demand response enrollment | | "
DC-ENERGY-004,1,complete,e6989afc-94a2-4f15-9048-efdd82490de7,"Hydro Ottawa net metering + IESO demand response enrollment | | DC-ENERGY-003 | OpenEVSE OCPP Integration Guide | EV charger configuration, OCPP 2.0.1 server setup, smart charge scheduling rules | | D"
DC-ENTERPRISE-001,1,referenced,7963735d-a671-4b42-806e-651377fd29b2,e use open source for dcentral what if an enterprise Whitelabels the ecosystem and use it internally how would that look like and can there be hybrid   Now the interactive white-label configurator: **
DC-EVC-001,1,referenced,d01c9e3e-35ab-4c93-a078-36dba9d185ee,"rsions (your Tier 0) are directly relevant to Haitian household energy needs.  ## 5. Where it sits in the D-Central registry  Practically, this would register as its own initiative — something like a "
DC-FIN-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,n/community-bond leverage on property → refinancing appreciated property into the expansion vaults → the fractal self-finances. Each stage reduces dependence on the one before it.  This wants to be **
DC-FOS-001,3,referenced,2c6eb4aa-23e4-4e3e-be53-46332d55b214; 7963735d-a671-4b42-806e-651377fd29b2; bb72430a-1fbf-463a-a768-75c752409b9f,"enforcement zones, showing live traffic feeds, incident overlays, and speed enforcement events on a single map — without building that visualization stack from scratch.  **D-FIELD / Sod Boys Ottawa (D"
DC-FRACTAL-001,2,draft,6ba817ef-3820-4ce9-8c1e-71de3d9c3666; 702c2d45-c80d-429a-a545-2850a38a6543,chef's Kitchen-VC and Skill-VC determine what DC-OS shows them; the Kitchen Node itself can run DC-OS as its interface layer rather than a bolted-on custom app.  **Where the other services fit** - **D
DC-FULLSUITE-001,1,superseded,6a30ef92-529c-4547-b508-344b24823fe6,"and research sensors discussed in this chat especially look into expanding the sensor node, agd, mesh, nation wide saturation and other level saturation the tiered home levels for the SHI node, etc. D"
DC-GAP-001,1,referenced,9914cf00-df14-4888-bee6-073dd408a960,"n/bed), the DCOL LiDAR family, the AR0234 MoCap rig, the energy infrastructure, the software stack with the GPU scheduler, the agent architecture, and the safety/compliance matrix — all with the same "
DC-GOV-002,2,draft,2c6eb4aa-23e4-4e3e-be53-46332d55b214; 702c2d45-c80d-429a-a545-2850a38a6543,"trust level 1 vs 3, tied to DAO reputation 3. Agent cost accounting rolled into the D-Credit micro-economy — usage becomes a coop line item, not a personal bill 4. Cross-reference DC-AGENT work with D"
DC-HAITI-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"lysis above is about the *economic logic*, which holds regardless of who's in power, but the *timing* of all of it depends on security developments I shouldn't guess at.  Want me to write this into **"
DC-HMCS-002,1,referenced,6a30ef92-529c-4547-b508-344b24823fe6,"ment.  That synthesis — the definition, the organ mapping, the two cautions — is basically the thesis statement of the HMCS whitepaper updated for everything designed this session. Worth capturing as "
DC-IMPACT-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"* That's not a hedge — it's the actual load-bearing condition, and it's worth stating plainly in the docs so future-you (and future stewards) can't quietly let them erode.  This deserves capture as **"
DC-LIC-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"ntures, and the delegation ladder.  **DC-GOV-002** — the family-office architecture: four layers, vault capital-allocation cycle, your time model at maturity, and the honest sequencing constraint.  **"
DC-LKB-001,3,referenced,1d87c741-469a-42cd-a427-2182a5784b40; 702c2d45-c80d-429a-a545-2850a38a6543; 76d91c3d-0b67-437f-a5dc-e5841bc93104,"ared communal space) and give it a full architecture treatment. Let me build the visual concept architecture first, then generate the formal document. Now let me generate the full concept document. **"
DC-LKB-002,1,complete,76d91c3d-0b67-437f-a5dc-e5841bc93104,"first, then I'll write the full technical specification document. Four sections: API design, governance contract, LMIS module interface, and UX flows. Now the full technical specification document. **"
DC-LKB-003,2,complete,4c70b8e3-f243-44e5-9765-fafa780c0c81; 76d91c3d-0b67-437f-a5dc-e5841bc93104,"ralized Banking Operating System** — any vault type, any membership model, any banking vertical, all on one open protocol. Let me build the complete architecture. Now the full v2 protocol document. **"
DC-LKF-001,3,referenced,1d87c741-469a-42cd-a427-2182a5784b40; 2c6eb4aa-23e4-4e3e-be53-46332d55b214; fc020b40-bb25-4a3d-ba2f-108c10cbc480,"n identity stack | Core | | **d-central-network** | DC-ISP-ARCH-001, DC-MESHISP-ARCH-001, Haiti topology, MeshISP specs | Core | | **d-central-finance** | DC-LKB-001/002/003 (Lakou Protocol banking), "
DC-MOGUL-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"e-rate reducers, not eliminators. Build that into the vault risk model (loss reserves, portfolio thinking across principals) or the first cohort's failures will drain the commons.  This wants to be **"
DC-MONETARY-001,3,referenced,5783b3e4-d46c-413c-8505-b5d6326b7fe6; bd72890d-3673-40fc-b37f-b8d3b91bcd56; e6989afc-94a2-4f15-9048-efdd82490de7,"ering transport, life support, banking with light-lag constraints, postal systems, and colonization packages  **Key Documents Produced** DC-REG-001 v3.1 (62 companies, 515 documents across 17 tiers), "
DC-MSOC-001,1,referenced,702c2d45-c80d-429a-a545-2850a38a6543,"n-zero artifact — the exact pattern DC-STATUS-001 flagged.  Where it *does* fit, sequenced properly:  **Phase 1 (now–Month 6):** Nothing physical. At most, document the mobile SOC as a registry spec ("
DC-NET-001,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"nical Implementation) | Rolling window deletion scheduler, event save mechanism, consent ledger write procedures |  ### Network and Compute Infrastructure  | ID | Document | Purpose | |---|---|---| | "
DC-NET-002,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"and Compute Infrastructure  | ID | Document | Purpose | |---|---|---| | DC-NET-001 | CUC Rack Build Specification | Physical rack layout, cable management, component placement, power distribution | | "
DC-NET-003,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,", cable management, component placement, power distribution | | DC-NET-002 | Network Architecture Specification | Full VLAN topology, routing design, pfSense rule set, MikroTik edge configuration | | "
DC-NET-004,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"g design, pfSense rule set, MikroTik edge configuration | | DC-NET-003 | Dual-WAN Failover Configuration Guide | pfSense dual-WAN setup, failover thresholds, VPP signal continuity during failover | | "
DC-NET-005,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"tup, failover thresholds, VPP signal continuity during failover | | DC-NET-004 | LiFi Network Integration Guide | Emitter configuration, PoE requirements, zone assignment, home OS SDN integration | | "
DC-NET-006,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"tion, PoE requirements, zone assignment, home OS SDN integration | | DC-NET-005 | ISP Integration Procedures | Bell Fibe PPPoE setup, Rogers/Cogeco passthrough configuration, Starlink bypass mode | | "
DC-NET-007,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"1 VLANs — devices, internet access, inter-VLAN rules) | 🆕 | | DC-NET-006 | Dual-WAN Failover Configuration Guide (pfSense failover thresholds, VPP continuity, MSSP tunnel) | 📋 🔄 Rename and expand | | "
DC-NET-008,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"fSense failover thresholds, VPP continuity, MSSP tunnel) | 📋 🔄 Rename and expand | | DC-NET-007 | ISP Integration Procedures (Bell Fibe PPPoE, Rogers/Cogeco passthrough, Starlink bypass, FWA) | 📋 | | "
DC-NET-009,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"Procedures (Bell Fibe PPPoE, Rogers/Cogeco passthrough, Starlink bypass, FWA) | 📋 | | DC-NET-008 | Remote Access and MSSP Tunnel Configuration (WireGuard peers, NOC endpoint, JIT credential) | 📋 | | D"
DC-NET-010,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"ccess and MSSP Tunnel Configuration (WireGuard peers, NOC endpoint, JIT credential) | 📋 | | DC-NET-009 | LiFi Network Integration Guide (emitter config, PoE, zone assignment, SDN integration) | 📋 | | "
DC-NET-011,1,referenced,e6989afc-94a2-4f15-9048-efdd82490de7,"Integration Guide (emitter config, PoE, zone assignment, SDN integration) | 📋 | | DC-NET-010 | BGP/ASN Registration Guide (future facilities-based ISP path — ARIN registration, MikroTik BGP) | 🆕 | | D"
DC-NETINFRA-001,2,complete,2c6eb4aa-23e4-4e3e-be53-46332d55b214; 7963735d-a671-4b42-806e-651377fd29b2,"nt system, the D-PLATFORM SaaS model, or do you want to start building any of these? I mean more for d-move and the other supporting infrastructure allowing companies to have the same flexibility   **"
