path:ID(DocSpec),title
DC-HAITI-INTEGRATION-PLATFORMS-RECONCILED-001.md,"DC-HAITI-INTEGRATION-PLATFORMS-RECONCILED-001 — Haiti Integration Platforms (Drone Zoe / D-Central Ecosystem), Consolidated (v1, generated 2026-09-05)"
DC-HAITI-SECURITY-OUTREACH-RECONCILED-001.md,"DC-HAITI-SECURITY-OUTREACH-RECONCILED-001 — Haiti Open-Source Security Framework Outreach, Consolidated (v1, generated 2026-09-05)"
DC-HCCC-GRAPHRAG-RECONCILED-001.md,"DC-HCCC-GRAPHRAG-RECONCILED-001 — HCCC GraphRAG/GraphQL System, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-ARCHITECTURE-DEPLOYMENT-RECONCILED-001.md,"DC-IHOSE-ARCHITECTURE-DEPLOYMENT-RECONCILED-001 — IHOSE Architecture & OpenVision Deployment, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-BUSINESS-STRATEGY-RECONCILED-001.md,"DC-IHOSE-BUSINESS-STRATEGY-RECONCILED-001 — OpenVision (IHOSE) Business Strategy Documents, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-BUSINESS-SUMMARIES-RECONCILED-001.md,"DC-IHOSE-BUSINESS-SUMMARIES-RECONCILED-001 — OpenVision (IHOSE) Business Summaries, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-DEPLOYMENT-INFRA-RECONCILED-001.md,"DC-IHOSE-DEPLOYMENT-INFRA-RECONCILED-001 — OpenVision (IHOSE) Deployment Infrastructure, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-FEDERATION-ECOSYSTEM-RECONCILED-001.md,"DC-IHOSE-FEDERATION-ECOSYSTEM-RECONCILED-001 — Iron Horse Security (IHOSE) Federation & Ecosystem Partnership Framework, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-HARDWARE-BOM-RECONCILED-001.md,"DC-IHOSE-HARDWARE-BOM-RECONCILED-001 — OpenVision (IHOSE) Hardware Bill of Materials, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-MODULE-DEV-RECONCILED-001.md,"DC-IHOSE-MODULE-DEV-RECONCILED-001 — OpenVision Module Development, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-OPENVISION-DOCUMENTATION-PACKAGE-RECONCILED-001.md,"DC-IHOSE-OPENVISION-DOCUMENTATION-PACKAGE-RECONCILED-001 — IHOSE OpenVision Documentation Package, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-QUICKSTART-RECONCILED-001.md,"DC-IHOSE-QUICKSTART-RECONCILED-001 — OpenVision Platform Quick Start & Installation, Consolidated (v1, generated 2026-09-05)"
DC-IHOSE-USE-CASES-RECONCILED-001.md,"DC-IHOSE-USE-CASES-RECONCILED-001 — OpenVision Use Cases & Business Models, Consolidated (v1, generated 2026-09-05)"
DC-IOT-BLUEPRINT-RECONCILED-001.md,"DC-IOT-BLUEPRINT-RECONCILED-001 — D-Central IoT Device Integration Blueprint, Consolidated (v1, generated 2026-09-05)"
DC-KNOWLEDGE-LAYERS-001.md,DC-KNOWLEDGE-LAYERS-001: Additional Layers Over the Archive Tier (Brainstorm)
DC-LIVESTREAM-OVERLAY-RECONCILED-001.md,"DC-LIVESTREAM-OVERLAY-RECONCILED-001 — D-Central Live Development Chatbot & Overlay System, Consolidated (v1, generated 2026-09-05)"
DC-LKB-001.md,Lakou — Cooperative Family Banking Protocol
DC-LKB-002.md,Lakou — Technical Specification
DC-LKB-003.md,Lakou Protocol v2 — Universal Decentralized Banking Operating System
DC-MESH-COOP-BUSINESS-RECONCILED-001.md,"DC-MESH-COOP-BUSINESS-RECONCILED-001 — Mesh Economy Cooperative Business Models, Consolidated (v1, generated 2026-09-05)"
DC-MESH-COOPERATIVE-BUSINESS-MODEL-RECONCILED-001.md,"DC-MESH-COOPERATIVE-BUSINESS-MODEL-RECONCILED-001 — Mesh Cooperative Business Model Framework, Consolidated (v1, generated 2026-09-05)"
DC-MESH-FOOD-ECONOMY-RECONCILED-001.md,"DC-MESH-FOOD-ECONOMY-RECONCILED-001 — Mesh Food Economy Business Models, Consolidated (v1, generated 2026-09-05)"
DC-MESHNAV-RECONCILED-001.md,"DC-MESHNAV-RECONCILED-001 — MeshNav Architecture & Data Pipeline, Consolidated (v1, generated 2026-09-05)"
DC-MESHPLATE-PRIVACY-COMPLIANCE-RECONCILED-001.md,"DC-MESHPLATE-PRIVACY-COMPLIANCE-RECONCILED-001 — MeshPlate Federation & CivicMesh Privacy Compliance, Consolidated (v1, generated 2026-09-05)"
DC-MESHSTORAGE-ARCHIVE-001.md,DC-MESHSTORAGE-ARCHIVE-001: Permanent-Archive Tier of mesh-storage
DC-NETWORKING-ARCH-RECONCILED-001.md,"DC-NETWORKING-ARCH-RECONCILED-001 — D-Central Networking Architecture, Consolidated (v1, generated 2026-09-05)"
DC-OBCC-SECTOR-RECONCILED-001.md,"DC-OBCC-SECTOR-RECONCILED-001 — D-Central x OBCC Sector Implementation, Consolidated (v1, generated 2026-09-05)"
DC-OPENPIV-PACS-INTEGRATION-RECONCILED-001.md,"DC-OPENPIV-PACS-INTEGRATION-RECONCILED-001 — OpenPIV + OS-PACS Integration Suite, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-GUARDIAN-SENTINEL-ARCH-RECONCILED-001.md,"DC-OPENSECURE-GUARDIAN-SENTINEL-ARCH-RECONCILED-001 — OS-GUARDIAN & OS-SENTINEL Technical Architecture, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-GUARDIAN-SENTINEL-TOPOLOGY-RECONCILED-001.md,"DC-OPENSECURE-GUARDIAN-SENTINEL-TOPOLOGY-RECONCILED-001 — OS-GUARDIAN & OS-SENTINEL Network Topology, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-OPENPIV-SUBSYSTEM-RECONCILED-001.md,"DC-OPENSECURE-OPENPIV-SUBSYSTEM-RECONCILED-001 — OpenSecure OpenPIV Subsystem, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-OS-CONCIERGE-TOPOLOGY-RECONCILED-001.md,"DC-OPENSECURE-OS-CONCIERGE-TOPOLOGY-RECONCILED-001 — OS-CONCIERGE Logical & Network Topology, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-OS-DRONE-ADVANCED-RECONCILED-001.md,"DC-OPENSECURE-OS-DRONE-ADVANCED-RECONCILED-001 — OS-DRONE Advanced Visual Intelligence & Spatial Federation, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-OS-DRONE-RECONCILED-001.md,"DC-OPENSECURE-OS-DRONE-RECONCILED-001 — OpenSecure OS-DRONE Subsystem, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-PATROL-SENTINEL-IMPL-RECONCILED-001.md,"DC-OPENSECURE-PATROL-SENTINEL-IMPL-RECONCILED-001 — OS-PATROL & OS-SENTINEL Implementation Guides, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-PER-SERVICE-IMPL-GUIDES-RECONCILED-001.md,"DC-OPENSECURE-PER-SERVICE-IMPL-GUIDES-RECONCILED-001 — OpenSecure Per-Service Implementation Guides, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-PROVINCIAL-PIV-CREDENTIAL-RECONCILED-001.md,"DC-OPENSECURE-PROVINCIAL-PIV-CREDENTIAL-RECONCILED-001 — OpenSecure Provincial Security Network: PIV & Credentialing, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-SECTOR-USE-CASE-RECONCILED-001.md,"DC-OPENSECURE-SECTOR-USE-CASE-RECONCILED-001 — OpenSecure Sector Use-Case Analyses, Consolidated (v1, generated 2026-09-05)"
DC-OPENSECURE-TOPOLOGY-DOCUMENTATION-SUITE-RECONCILED-001.md,"DC-OPENSECURE-TOPOLOGY-DOCUMENTATION-SUITE-RECONCILED-001 — OpenSecure Topology Documentation Suite, Consolidated (v1, generated 2026-09-05)"
DC-PROVINCIAL-SECURITY-NETWORK-RECONCILED-001.md,"DC-PROVINCIAL-SECURITY-NETWORK-RECONCILED-001 — Provincial Security Network Programs, Consolidated (v1, generated 2026-09-05)"
DC-REINVEST-PROCUREMENT-RECONCILED-001.md,"DC-REINVEST-PROCUREMENT-RECONCILED-001 — D-Central Reinvestment & Procurement Plans, Consolidated (v1, generated 2026-09-05)"
DC-SECURITY-ECOSYSTEM-SECTOR-PLATFORMS-RECONCILED-001.md,"DC-SECURITY-ECOSYSTEM-SECTOR-PLATFORMS-RECONCILED-001 — Security Ecosystem Sector Platforms, Consolidated (v1, generated 2026-09-05)"
DC-STATUS-001.md,DC-STATUS-001: Honesty-Discipline Gap Register (Reconstruction)
DC-TRAFFICMESH-CITY-FLEET-RECONCILED-001.md,"DC-TRAFFICMESH-CITY-FLEET-RECONCILED-001 — TrafficMesh City Fleet Deployment, Consolidated (v1, generated 2026-09-05)"
DC-TRAFFICMESH-INSURANCE-INTEGRATION-RECONCILED-001.md,"DC-TRAFFICMESH-INSURANCE-INTEGRATION-RECONCILED-001 — TrafficMesh/CivicMesh Insurance Integration & Revenue, Consolidated (v1, generated 2026-09-05)"
DC-TRAFFICMESH-LEGAL-RECONCILED-001.md,"DC-TRAFFICMESH-LEGAL-RECONCILED-001 — TrafficMesh Legal & Regulatory Compliance, Consolidated (v1, generated 2026-09-05)"
DC-TRAFFICMESH-OTTAWA-GOV-ENGAGEMENT-RECONCILED-001.md,"DC-TRAFFICMESH-OTTAWA-GOV-ENGAGEMENT-RECONCILED-001 — TrafficMesh Ottawa Government Engagement, Consolidated (v1, generated 2026-09-05)"
DC-TRAFFICMESH-REGULATORY-RECONCILED-001.md,"DC-TRAFFICMESH-REGULATORY-RECONCILED-001 — TrafficMesh Regulatory Compliance, Consolidated (v1, generated 2026-09-05)"
DC-VENTURE-GOVERNANCE-PROTOCOL-SUITE-RECONCILED-001.md,"DC-VENTURE-GOVERNANCE-PROTOCOL-SUITE-RECONCILED-001 — D-Central Venture & Governance Protocol Suite, Consolidated (v1, generated 2026-09-05)"
DC-VERIFIABLE-ROLLOUT-001.md,DC-VERIFIABLE-ROLLOUT-001: Verifiable Progressive Rollout Primitive
NEO4J-RASPBERRY-PI-SETUP.md,"Running Neo4j on a Raspberry Pi, for this repo's graph layer"
PLATFORM_ARCHITECTURE.md,FieldOps Platform — Technical Architecture
SECURITY_AUDIT.md,Security Review — dcentral-fieldops
UNIFIED_SOURCE_OF_TRUTH_V24.md,UNIFIED SOURCE OF TRUTH — COMPLETE TAXONOMY
